,year,month,day,num_posts,daily_avg_score
0,2012,1,1,13311,0.6047359090909091
1,2012,1,2,20202,0.6303921194029851
2,2012,1,3,21337,0.606662312195122
3,2012,1,4,19006,0.7064288666666666
4,2012,1,5,19651,0.4594974347826086
5,2012,1,6,20811,0.6163399777777778
6,2012,1,7,20046,0.58172775
7,2012,1,8,20986,0.921974
8,2012,1,9,20382,0.6593765
9,2012,1,10,20305,0.6499212413793103
10,2012,1,11,20305,0.5878355
11,2012,1,12,20491,0.5711804666666667
12,2012,1,13,20567,0.7848903157894738
13,2012,1,14,20577,0.6092816296296296
14,2012,1,15,21674,0.5873649411764705
15,2012,1,16,20844,0.926646
16,2012,1,17,19344,0.5540656666666667
17,2012,1,18,20924,0.5373640000000001
18,2012,1,19,21143,0.6100836249999999
19,2012,1,20,21576,0.51468925
20,2012,1,21,21249,0.5763953333333333
21,2012,1,22,21280,0.6374834090909092
22,2012,1,23,21132,0.54816175
23,2012,1,24,21299,0.6289274
24,2012,1,25,22223,0.7044169354838711
25,2012,1,26,21019,0.5675928000000001
26,2012,1,27,20760,0.6572939782608695
27,2012,1,28,21037,0.6410538958333333
28,2012,1,29,21869,0.919738
29,2012,1,30,20812,0.5921316764705882
30,2012,1,31,21370,0.7189804444444444
31,2012,2,1,22049,0.857025
32,2012,2,2,21889,0.6415950000000001
33,2012,2,3,22116,0.511077
34,2012,2,4,22415,0.141184
35,2012,2,5,23522,0.7277861428571428
36,2012,2,6,23516,0.6685924999999999
37,2012,2,7,21303,0.5866793333333333
38,2012,2,8,22286,0.5921506666666666
39,2012,2,9,18609,0.5988468157894736
40,2012,2,10,22503,0.6534714
41,2012,2,11,22055,0.6526476250000002
42,2012,2,12,22837,0.5371202500000001
43,2012,2,13,23541,0.5714357307692308
44,2012,2,14,21790,0.1809079999999999
45,2012,2,15,21713,0.7264956
46,2012,2,16,22173,0.7500809090909091
47,2012,2,17,23446,0.880534
48,2012,2,18,23111,0.4831356666666666
49,2012,2,19,23304,0.6245828999999999
50,2012,2,20,22631,0.523204125
51,2012,2,21,23825,0.4602063333333333
52,2012,2,22,22693,0.5740322592592593
53,2012,2,23,10826,0.6002132857142858
54,2012,2,24,23136,0.6819077777777778
55,2012,2,25,23013,0.5472928666666665
56,2012,2,26,23354,0.6290130555555555
57,2012,2,27,23041,0.5954423333333333
58,2012,2,28,22844,0.5622222173913043
59,2012,2,29,23218,0.8452069999999999
60,2012,3,1,22960,0.6758346666666667
61,2012,3,2,22600,0.631459
62,2012,3,3,22648,0.565273842105263
63,2012,3,4,24174,0.6067992978723403
64,2012,3,5,22529,0.5546438695652174
65,2012,3,6,23294,0.6108903333333333
66,2012,3,7,23681,0.510734
67,2012,3,8,23951,0.601574
68,2012,3,9,23716,0.5515245438596491
69,2012,3,10,23758,0.6044978181818181
70,2012,3,11,24320,0.4828131323529412
71,2012,3,12,23586,0.6893512857142857
72,2012,3,13,23659,0.4182808823529412
73,2012,3,14,24430,0.5450117868852459
74,2012,3,15,24756,0.5781774999999999
75,2012,3,16,24817,0.5499484166666666
76,2012,3,17,24598,0.451571
77,2012,3,18,24219,0.905768
78,2012,3,19,23529,0.609015
79,2012,3,20,24286,0.571625
80,2012,3,21,24526,0.407435
81,2012,3,22,24880,0.915357
82,2012,3,23,24980,0.7592319999999999
83,2012,3,24,25450,0.8529847500000001
84,2012,3,25,25275,0.6317054444444445
85,2012,3,26,24568,0.7815840000000001
86,2012,3,27,20707,0.6376666153846154
87,2012,3,28,24799,0.49584525
88,2012,3,29,24585,0.576279
89,2012,3,30,25829,0.63635588
90,2012,3,31,25532,0.8503780000000001
91,2012,4,1,6683,0.4032309999999999
92,2012,4,2,5,0.4928965
93,2012,4,3,7,0.8828790000000001
94,2012,4,4,12,0.707575
95,2012,4,5,5,0.8257695
96,2012,4,6,7,0.6265535098039215
97,2012,4,7,9,0.410846
98,2012,4,8,11,0.3710469999999999
99,2012,4,9,11,0.7263512222222223
100,2012,4,10,8,0.8940610000000001
101,2012,4,11,13,0.8426835
102,2012,4,12,17,0.7202808333333334
103,2012,4,13,8,0.7020413750000001
104,2012,4,14,10,0.766858
105,2012,4,15,12,0.464313
106,2012,4,16,18,0.5431918333333333
107,2012,4,17,14,0.639857
108,2012,4,18,17,0.6957593333333333
109,2012,4,19,12,0.8980100000000001
110,2012,4,20,10,0.4991033333333334
111,2012,4,21,15,0.6608966046511628
112,2012,4,22,18,0.6346839999999999
113,2012,4,23,14,0.71951
114,2012,4,24,23,0.585739
115,2012,4,25,32,0.786402
116,2012,4,26,22,0.681717
117,2012,4,27,31,0.528671
118,2012,4,28,30,0.151136
119,2012,4,29,43,0.48101866666666665
120,2012,4,30,90,0.6669015
121,2012,5,1,17335,0.6105389999999999
122,2012,5,2,21032,0.7613800000000001
123,2012,5,3,19546,0.87623325
124,2012,5,4,24826,0.6350520000000001
125,2012,5,5,25321,0.593474
126,2012,5,6,25434,0.7824135999999999
127,2012,5,7,24645,0.7289049999999999
128,2012,5,8,21347,0.6559548
129,2012,5,9,25123,0.4939668181818181
130,2012,5,10,25332,0.381087
131,2012,5,11,25336,0.4473189999999999
132,2012,5,12,25156,0.796371
133,2012,5,13,26208,0.59179
134,2012,5,14,22975,0.772626
135,2012,5,15,11208,0.962078
136,2012,5,16,25167,0.6559946428571429
137,2012,5,17,20975,0.6347852051282051
138,2012,5,18,26052,0.7140835
139,2012,5,19,27655,0.583872448275862
140,2012,5,20,26381,0.6706118
141,2012,5,21,25326,0.652998212121212
142,2012,5,22,25484,0.6249287377049182
143,2012,5,23,25731,0.5825602954545455
144,2012,5,24,26045,0.6225422894736842
145,2012,5,25,26096,0.6230787999999999
146,2012,5,26,26668,0.4864529230769231
147,2012,5,27,26378,0.6897122307692308
148,2012,5,28,26636,0.6218669047619048
149,2012,5,29,26901,0.5947757608695652
150,2012,5,30,27101,0.6367990540540541
151,2012,5,31,27326,0.5890775454545455
152,2012,6,1,26887,0.5605336666666667
153,2012,6,2,26485,0.5317556666666666
154,2012,6,3,26896,0.703603875
155,2012,6,4,27539,0.496527
156,2012,6,5,27205,0.4503875
157,2012,6,6,27234,0.5768126153846154
158,2012,6,7,27794,0.637238
159,2012,6,8,28534,0.547914
160,2012,6,9,27661,0.4975726176470586
161,2012,6,10,29241,0.5485943333333333
162,2012,6,11,24086,0.5917623333333333
163,2012,6,12,28240,0.5178895
164,2012,6,13,29295,0.8561690000000001
165,2012,6,14,28142,0.6431244285714285
166,2012,6,15,28198,0.81729
167,2012,6,16,27850,0.132329
168,2012,6,17,27792,0.5426811428571429
169,2012,6,18,27418,0.7791680000000001
170,2012,6,19,28057,0.6466390000000001
171,2012,6,20,28642,0.5884694583333333
172,2012,6,21,26709,0.7204430000000001
173,2012,6,22,29463,0.5458653333333334
174,2012,6,23,28868,0.5985685000000001
175,2012,6,24,29099,0.6937476249999999
176,2012,6,25,26217,0.585213
177,2012,6,26,27358,0.8192699999999999
