,year,month,day,num_posts,daily_avg_score
0,2018,1,1,511732,0.56202
1,2018,1,2,276778,0.5828923333333333
2,2018,1,3,47480,0.7241374838709677
3,2018,1,4,56273,0.6556765
4,2018,1,5,309959,0.63977025
5,2018,1,6,452304,0.5404745789473684
6,2018,1,7,444385,0.657048
7,2018,1,8,418372,0.8205818571428571
8,2018,1,9,388879,0.7124183333333334
9,2018,1,10,380044,0.6521042278481012
10,2018,1,11,408836,0.709536914893617
11,2018,1,12,459848,0.6582590588235295
12,2018,1,13,569616,0.6885432608695654
13,2018,1,14,547315,0.612449125
14,2018,1,15,512105,0.7720385555555557
15,2018,1,16,485319,0.6565081265822785
16,2018,1,17,505077,0.698538304347826
17,2018,1,18,534242,0.63454846875
18,2018,1,19,570218,0.6907929152542371
19,2018,1,20,589758,0.6927432
20,2018,1,21,588072,0.6735793333333333
21,2018,1,22,456476,0.6890961428571428
22,2018,1,23,366448,0.7268323999999999
23,2018,1,24,454487,0.6466898333333333
24,2018,1,25,492214,0.72652432
25,2018,1,26,519138,0.5571752666666666
26,2018,1,27,547842,0.7195131944444444
27,2018,1,28,510409,0.7349412
28,2018,1,29,312690,0.6794455555555555
29,2018,1,30,405591,0.7124265000000001
30,2018,1,31,520373,0.7067478030303032
31,2018,2,1,503808,0.6937894418604651
32,2018,2,2,505593,0.7256979999999998
33,2018,2,3,586488,0.6224550930232557
34,2018,2,4,568304,0.7170811399999999
35,2018,2,5,459424,0.7258063608247424
36,2018,2,6,488540,0.6138562999999999
37,2018,2,7,522241,0.6449112222222222
38,2018,2,8,552077,0.6781579205479452
39,2018,2,9,574619,0.663658375
40,2018,2,10,592971,0.7031119457013575
41,2018,2,11,561630,0.7716267222222223
42,2018,2,12,583851,0.7276505679012347
43,2018,2,13,546786,0.6795260459770115
44,2018,2,14,593414,0.6597075071428572
45,2018,2,15,486185,0.7216048695652174
46,2018,2,16,622939,0.7230611
47,2018,2,17,706749,0.6632385652173912
48,2018,2,18,658752,0.6812489950738916
49,2018,2,19,593901,0.6918602857142857
50,2018,2,20,609756,0.6397142
51,2018,2,21,583037,0.72607
52,2018,2,22,580360,0.7281356483516483
53,2018,2,23,602417,0.7803005789473684
54,2018,2,24,700666,0.701750975308642
55,2018,2,25,658699,0.6459617642857142
56,2018,2,26,627520,0.6504774444444446
57,2018,2,27,560725,0.657215
58,2018,2,28,565811,0.7113915999999999
59,2018,3,1,614882,0.6785798333333334
60,2018,3,2,597725,0.7144032
61,2018,3,3,474894,0.6173220666666667
62,2018,3,4,282914,0.64772615
63,2018,3,5,429207,0.7186965267857142
64,2018,3,6,310146,0.6744934672131149
65,2018,3,7,552424,0.6781820384615384
66,2018,3,8,436715,0.6667687272727273
67,2018,3,9,573972,0.6843639166666667
68,2018,3,10,668392,0.7437895
69,2018,3,11,673227,0.6986291307692306
70,2018,3,12,524344,0.6794478301886792
71,2018,3,13,548305,0.6561798636363637
72,2018,3,14,557816,0.6505906
73,2018,3,15,610759,0.6665542857142858
74,2018,3,16,548856,0.6994762222222222
75,2018,3,17,731786,0.690790561111111
76,2018,3,18,679687,0.6676027
