,year,month,day,num_posts,daily_avg_score
0,2019,1,1,3679177,0.6834572099999998
1,2019,1,2,3548916,0.6509383312101912
2,2019,1,3,3643664,0.7613158095238096
3,2019,1,4,3674510,0.679037340101523
4,2019,1,5,3633612,0.6471623461538462
5,2019,1,6,3645829,0.7179780000000001
6,2019,1,7,3576089,0.6845974
7,2019,1,8,3626048,0.7354802702702702
8,2019,1,9,3615523,0.5672387083333333
9,2019,1,10,3589490,0.8335753999999996
10,2019,1,11,3610230,0.6611840000000001
11,2019,1,12,3569036,0.253801
12,2019,1,13,3608030,0.53479275
13,2019,1,14,3571660,0.7125259090909092
14,2019,1,15,3570195,0.7000726153846154
15,2019,1,16,3573316,0.707951
16,2019,1,17,3539490,0.504689
17,2019,1,18,3605777,0.7373335
18,2019,1,19,3575536,0.8758783125
19,2019,1,20,3625567,0.5912930000000001
20,2019,1,21,3608277,0.9061926999999999
21,2019,1,22,3605135,0.5557206204819277
22,2019,1,23,3623165,0.578443673521851
23,2019,1,24,3630244,0.6790810588235294
24,2019,1,25,3642857,0.620984688973384
25,2019,1,26,3597667,0.5990462661627213
26,2019,1,27,3568642,0.5875276076388889
27,2019,1,28,3548350,0.5561485714285715
28,2019,1,29,3577438,0.5827718776315788
29,2019,1,30,3627276,0.5817292528301886
30,2019,1,31,3625186,0.7743831333333333
31,2019,2,1,3645036,0.6279622325581395
32,2019,2,2,3565774,0.5889030987654321
33,2019,2,3,3563816,0.705753
34,2019,2,4,3560199,0.5536371860465116
35,2019,2,5,3551528,0.682651125
36,2019,2,6,3625089,0.570043795620438
37,2019,2,7,3577759,0.7491856363636363
38,2019,2,8,3591408,0.6389392878787878
39,2019,2,9,3518477,0.6381085196850395
40,2019,2,10,3567765,0.7736056086956522
41,2019,2,11,3204031,0.5983397578947368
42,2019,2,12,3343944,0.7025220909090909
43,2019,2,13,3597937,0.5711996172248803
44,2019,2,14,3657522,0.6254980238805969
45,2019,2,15,3566297,0.5777818359281437
46,2019,2,16,3522250,0.6126736428571429
47,2019,2,17,3567895,0.5950376136820924
48,2019,2,18,3545792,0.5953447008547008
49,2019,2,19,3574813,0.7000929117647059
50,2019,2,20,3617558,0.6541549210526314
51,2019,2,21,3604911,0.633467
52,2019,2,22,3612279,0.7060193636363636
53,2019,2,23,3592838,0.6106299683751364
54,2019,2,24,3498188,0.5851086242424243
55,2019,2,25,3590890,0.6195267125748501
56,2019,2,26,3629356,0.605955370340999
57,2019,2,27,3643993,0.7524793333333332
58,2019,2,28,3623743,0.6807957142857143
59,2019,3,1,3635399,0.6522532909090909
60,2019,3,2,3583156,0.5880091656399726
61,2019,3,3,1985590,0.6047583416370108
62,2019,3,4,3490172,0.5999609902834008
63,2019,3,5,3568410,0.606476978322875
64,2019,3,6,3594744,0.5813563584905659
65,2019,3,7,3190938,0.5721966525821596
66,2019,3,8,3087505,0.6056121899736149
67,2019,3,9,2900370,0.5612382621359223
68,2019,3,10,2988012,0.6110134920634921
69,2019,3,11,2901756,0.5565286788990825
70,2019,3,12,3008839,0.589482269035533
71,2019,3,13,3174672,0.5494518098391675
72,2019,3,14,3207356,0.5988907333333333
73,2019,3,15,1786242,0.5884140080428955
74,2019,3,16,1469304,0.585665390041494
75,2019,3,17,3195952,0.7030289111111112
76,2019,3,18,3039038,0.6430622771739132
77,2019,3,19,3037791,0.5989295609756099
78,2019,3,20,3308352,0.5429402795698925
79,2019,3,21,3382132,0.570551936585366
80,2019,3,22,3340056,0.6143080444444445
81,2019,3,23,3276818,0.6004772223816356
82,2019,3,24,3315682,0.6210280164203612
83,2019,3,25,3083980,0.5609827857142857
84,2019,3,26,3356150,0.5895202700276242
85,2019,3,27,3381970,0.5883655666666667
86,2019,3,28,3394921,0.6870482000000001
87,2019,3,29,3345149,0.5469486521739131
88,2019,3,30,3313816,0.5923591186440679
89,2019,3,31,3359175,0.630717393970894
90,2019,4,1,3333507,0.590812906354515
91,2019,4,2,3321121,0.5603560754716982
92,2019,4,3,3386657,0.5779484510385757
93,2019,4,4,3404019,0.5736375881147541
94,2019,4,5,3400856,0.6075968581488935
95,2019,4,6,3361860,0.6861200000000001
96,2019,4,7,3407782,0.7438482307692307
97,2019,4,8,3338521,0.5637804203233255
98,2019,4,9,3443374,0.6719302857142857
99,2019,4,10,3460021,0.6098406990204808
100,2019,4,11,3437138,0.5628697692307694
101,2019,4,12,3414016,0.6001984514348786
102,2019,4,13,3379077,0.6070922665562916
103,2019,4,14,3461440,0.5935712186732186
104,2019,4,15,3389134,0.7716383333333333
